sample	pop	contgroup	sex
HG01879	ACB	AFR	1
HG01880	ACB	AFR	2
HG01881	ACB	AFR	2
HG01882	ACB	AFR	1
HG01883	ACB	AFR	2
HG01888	ACB	AFR	1
HG01884	ACB	AFR	2
HG01885	ACB	AFR	1
HG01956	ACB	AFR	2
HG01886	ACB	AFR	2
HG01887	ACB	AFR	1
HG02014	ACB	AFR	1
HG01889	ACB	AFR	2
HG01890	ACB	AFR	1
HG01891	ACB	AFR	2
HG01894	ACB	AFR	2
HG01895	ACB	AFR	1
HG01912	ACB	AFR	1
HG01896	ACB	AFR	2
HG01897	ACB	AFR	1
HG02013	ACB	AFR	1
HG01985	ACB	AFR	2
HG01914	ACB	AFR	1
HG01915	ACB	AFR	2
HG01916	ACB	AFR	2
HG01958	ACB	AFR	2
HG01959	ACB	AFR	2
HG01986	ACB	AFR	1
HG01960	ACB	AFR	2
HG01988	ACB	AFR	1
HG01989	ACB	AFR	2
HG01987	ACB	AFR	1
HG01990	ACB	AFR	1
HG02012	ACB	AFR	2
HG02009	ACB	AFR	1
HG02010	ACB	AFR	2
HG02011	ACB	AFR	1
HG02051	ACB	AFR	1
HG02052	ACB	AFR	2
HG02053	ACB	AFR	1
HG02054	ACB	AFR	2
HG02055	ACB	AFR	1
HG02095	ACB	AFR	2
HG02332	ACB	AFR	1
HG02107	ACB	AFR	1
HG02108	ACB	AFR	2
HG02111	ACB	AFR	2
HG02143	ACB	AFR	1
HG02144	ACB	AFR	2
HG02145	ACB	AFR	1
HG02255	ACB	AFR	1
HG02256	ACB	AFR	2
HG02257	ACB	AFR	2
HG02258	ACB	AFR	1
HG02314	ACB	AFR	1
HG02315	ACB	AFR	2
HG02280	ACB	AFR	2
HG02307	ACB	AFR	1
HG02308	ACB	AFR	2
HG02281	ACB	AFR	1
HG02282	ACB	AFR	2
HG02321	ACB	AFR	2
HG02283	ACB	AFR	1
HG02309	ACB	AFR	2
HG02284	ACB	AFR	1
HG02316	ACB	AFR	1
HG02317	ACB	AFR	1
HG02318	ACB	AFR	2
HG02322	ACB	AFR	2
HG02323	ACB	AFR	1
HG02325	ACB	AFR	2
HG02337	ACB	AFR	2
HG02334	ACB	AFR	1
HG02330	ACB	AFR	1
HG02339	ACB	AFR	2
HG02343	ACB	AFR	1
HG02419	ACB	AFR	2
HG02420	ACB	AFR	1
HG02427	ACB	AFR	2
HG02428	ACB	AFR	1
HG02429	ACB	AFR	1
HG02436	ACB	AFR	1
HG02433	ACB	AFR	1
HG02439	ACB	AFR	1
HG02442	ACB	AFR	1
HG02445	ACB	AFR	1
HG02489	ACB	AFR	1
HG02449	ACB	AFR	1
HG02450	ACB	AFR	2
HG02451	ACB	AFR	2
HG02455	ACB	AFR	1
HG02470	ACB	AFR	1
HG02471	ACB	AFR	2
HG02476	ACB	AFR	2
HG02477	ACB	AFR	2
HG02478	ACB	AFR	1
HG02479	ACB	AFR	2
HG02480	ACB	AFR	2
HG02481	ACB	AFR	1
HG02484	ACB	AFR	1
HG02485	ACB	AFR	2
HG02486	ACB	AFR	1
HG02511	ACB	AFR	2
HG02496	ACB	AFR	1
HG02497	ACB	AFR	2
HG02501	ACB	AFR	1
HG02502	ACB	AFR	2
HG02505	ACB	AFR	2
HG02508	ACB	AFR	2
HG02536	ACB	AFR	1
HG02537	ACB	AFR	2
HG02541	ACB	AFR	1
HG02545	ACB	AFR	1
HG02546	ACB	AFR	2
HG02547	ACB	AFR	1
HG02549	ACB	AFR	2
HG02554	ACB	AFR	1
HG02555	ACB	AFR	2
HG02557	ACB	AFR	1
HG02558	ACB	AFR	2
HG02559	ACB	AFR	2
HG02577	ACB	AFR	2
